p.inp_nr,p.min_threshold,p.max_upper_bound,t
39756,10000,0,10.248387
39756,10000,100,7.366486
39756,10000,1000,7.274974
39756,10000,10000,7.670513
39756,10000,100000,11.339241
39756,15849,0,10.478939
39756,15849,100,7.798689
39756,15849,1000,7.728174
39756,15849,10000,8.099518
39756,15849,100000,11.500683
39756,25119,0,12.620014
39756,25119,100,8.854087
39756,25119,1000,8.877283
39756,25119,10000,9.151964
39756,25119,100000,11.727641
39756,39811,0,15.297364
39756,39811,100,11.067323
39756,39811,1000,11.038583
39756,39811,10000,11.353826
39756,39811,100000,13.155976
39756,63096,0,18.024355
39756,63096,100,13.057762
39756,63096,1000,13.088377
39756,63096,10000,13.520599
39756,63096,100000,13.909836
39756,100000,0,19.921721
39756,100000,100,14.192625
39756,100000,1000,14.189292
39756,100000,10000,14.837664
39756,100000,100000,14.537159
39756,158489,0,28.009727
39756,158489,100,21.043499
39756,158489,1000,21.161496
39756,158489,10000,21.474119
39756,158489,100000,21.515546
39756,251189,0,33.219305
39756,251189,100,26.256928
39756,251189,1000,26.426126
39756,251189,10000,26.762482
39756,251189,100000,26.759945
39756,398107,0,32.817801
39756,398107,100,25.742415
39756,398107,1000,26.184100
39756,398107,10000,26.237359
39756,398107,100000,26.075360
39756,630957,0,32.953672
39756,630957,100,25.830062
39756,630957,1000,25.912751
39756,630957,10000,26.363191
39756,630957,100000,26.124293
39756,1000000,0,33.008685
39756,1000000,100,25.882732
39756,1000000,1000,25.905792
39756,1000000,10000,26.233172
39756,1000000,100000,26.214327
39756,100,0,41.376460
39756,100,100,39.715062
39756,100,1000,39.701539
39756,100,10000,40.677605
39756,100,100000,44.082367
39756,158,0,34.231448
39756,158,100,33.026779
39756,158,1000,32.915240
39756,158,10000,34.058295
39756,158,100000,38
39756,251,0,28.603137
39756,251,100,26.425923
39756,251,1000,26.104498
39756,251,10000,27.259917
39756,251,100000,31.023234
39756,398,0,20.255775
39756,398,100,18.628209
39756,398,1000,18.277030
39756,398,10000,19.205999
39756,398,100000,23.113231
39756,631,0,17.582556
39756,631,100,15.987148
39756,631,1000,15.877649
39756,631,10000,16.848247
39756,631,100000,20.652879
39756,1000,0,17.341891
39756,1000,100,15.532338
39756,1000,1000,15.671822
39756,1000,10000,16.450580
39756,1000,100000,20.349278
39756,1585,0,13.379544
39756,1585,100,11.743253
39756,1585,1000,11.758473
39756,1585,10000,12.963351
39756,1585,100000,16.379105
39756,2512,0,12.931396
39756,2512,100,10.756710
39756,2512,1000,10.666250
39756,2512,10000,11.566072
39756,2512,100000,15.394336
39756,3981,0,10.618082
39756,3981,100,8.172458
39756,3981,1000,8.235038
39756,3981,10000,9.114315
39756,3981,100000,12.724455
39756,6310,0,10.955620
39756,6310,100,8.439000
39756,6310,1000,8.290438
39756,6310,10000,9.196400
39756,6310,100000,12.784732
147510,1000,1000,6.208773
147510,10000,1000,34.397697
147510,100000,1000,36.036053
147510,1000000,1000,33.488569
88712,1000,1000,95.894760
88712,10000,1000,58.945191
88712,100000,1000,87.790311
88712,1000000,1000,167.209727
